id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
100620,Comfortable flat in authenticVenice,520357,Massimo,Isole,Castello,45.43049,12.35787,Entire home/apt,80,3,35,2016-07-01,0.30,1,310,0,
108271,SHORT HOLIDAYS  IN VENICE FREE WIFI,560277,Vera,Terraferma,Marghera,45.4732,12.22502,Private room,36,2,326,2019-10-12,2.87,1,249,0,
109278,Villa ai Tigli - Portion of Villa 15 Pax in Venice,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,286,1,15,2019-06-24,0.25,6,233,0,
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40782,12.36728,Entire home/apt,300,13,8,2017-10-30,0.07,2,363,1,
130605,Sweet dreams,642936,Maria,Isole,Santa Croce,45.439987,12.322111,Private room,78,2,259,2019-09-20,2.38,2,354,7,
131244,Giardino dei Melograni  Economy Room,630328,Kosher House,Isole,Cannaregio,45.44654,12.32819,Hotel room,112,1,31,2021-08-15,0.32,23,332,5,
131822,Giardino dei Melograni triple room,630328,Kosher House,Isole,Cannaregio,45.44472,12.32682,Hotel room,165,1,7,2013-07-21,0.08,23,340,0,
131895,Giardino dei Melograni DUS,630328,Kosher House,Isole,Cannaregio,45.44456,12.32779,Hotel room,115,1,8,2015-08-13,0.07,23,328,0,
131939,Giardino dei Melograni family room,630328,Kosher House,Isole,Cannaregio,45.44478,12.3282,Hotel room,225,1,2,2016-10-23,0.02,23,342,0,
134035,HAPPY AND LUMINOUS FLAT IN VENICE WITH TERRACE,653451,Sara,Isole,Castello,45.43437,12.34641,Entire home/apt,120,2,68,2018-10-29,0.56,1,280,2,
136713,Ca' Del Mercante Grand Canal with Roof Terrace,669047,Views On Venice,Isole,San Polo,45.43542,12.32735,Entire home/apt,606,3,61,2019-08-29,0.94,81,77,2,M02704210816
137087,"Charming & Bohémienne, a cozy stay in San Marco",264845,Ilaria,Isole,Castello,45.43704,12.3469,Entire home/apt,142,2,87,2020-01-03,0.79,1,241,2,
137304,"""BOUDOIR"" IN10 MINUTES FROM VENICE",671512,Zoia,Terraferma,Piave 1860,45.48706,12.24687,Private room,58,1,117,2017-10-29,1.05,1,363,0,
139786,Ca' Grassi 2 Charme Apartment,669047,Views On Venice,Isole,San Marco,45.4349,12.32989,Entire home/apt,248,3,23,2019-10-12,0.20,81,337,0,M02704210830
139802,Ca' Grassi 1 Apartment for 4/5 Guests,669047,Views On Venice,Isole,San Marco,45.43524,12.32987,Entire home/apt,286,3,42,2019-10-21,0.40,81,337,0,M02704210829
140197,Nido D'Amore- Zona: Rialto,683035,Paola,Isole,Cannaregio,45.43976,12.336,Entire home/apt,84,1,693,2021-07-14,5.70,1,306,39,CODICE IDENTIFICATIVO: M0270421099
142085,Widmann apartment in Venice centre,1878243,Elisabetta,Isole,Cannaregio,45.44242,12.33955,Entire home/apt,80,2,336,2021-01-07,2.86,3,0,8,
142868,Luxury new refurbished apt. Venice,693554,Valentina,Isole,Castello,45.43209,12.35124,Entire home/apt,150,3,202,2019-06-17,1.71,2,192,0,
145324,Double room with a View of the city,703872,Leonardo E Irene,Isole,Cannaregio,45.44285,12.34019,Private room,70,1,418,2019-10-27,3.48,3,164,10,
145631,My Casa Allegra Venice Mestre Private Studio!,704911,Alessandra,Terraferma,Villaggio San Marco,45.4832,12.2586,Private room,50,2,609,2019-07-30,4.94,1,0,0,
146821,Ca' dell' Ambasciatore Venezia,709828,Roberto,Isole,Castello,45.43101,12.35369,Entire home/apt,390,3,117,2019-10-09,1.14,2,157,3,M0270429577
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.4362,12.34389,Hotel room,140,2,25,2019-04-16,0.32,3,333,0,
148794,house of 500 canal view: a true Venetian feel,685618,Luisa,Isole,Cannaregio,45.44338,12.33133,Entire home/apt,90,2,167,2020-03-01,1.52,1,329,0,
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44087,12.34119,Entire home/apt,85,1,253,2021-06-20,2.29,2,201,8,
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44085,12.32833,Entire home/apt,115,3,278,2020-01-02,2.51,6,335,3,
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44019,12.33174,Entire home/apt,120,3,207,2021-08-22,1.99,6,340,2,
160017,"Venice: house in the green, wi-fi",767044,Elisabetta,Terraferma,Bissuola,45.50075,12.26594,Entire home/apt,80,1,116,2018-06-22,1.48,1,332,1,M0270420940
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.4341,12.3211,Entire home/apt,139,2,301,2019-08-31,2.64,2,286,11,
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.43548,12.34241,Hotel room,75,2,148,2019-09-18,1.27,3,312,2,
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43821,12.3328,Hotel room,87,2,306,2021-08-25,3.55,4,335,13,
